1;1;0
2;2;1
3;3;2
4;4;3
5;5;4
6;6;5
7;7;6
8;8;6
9;9;7
10;10;8
11;11;9
12;12;10
13;13;11
14;14;12
14;15;13
15;16;14
16;17;15
17;18;15
18;19;16
19;20;16
20;21;17
21;22;18
22;23;19
23;24;20
24;25;21
24;26;22
25;27;23
26;27;24
27;28;24
28;29;25
29;30;26
30;31;27
31;32;28
31;33;29
32;34;30
33;35;31
33;36;32
34;36;33
35;37;34
36;38;35
36;39;36
37;40;36
38;41;37
39;42;38
40;43;39
41;44;40
42;44;41
43;45;42
44;46;43
45;47;44
