Index;Option1;Option2;Option3;Option4;Option 5;Option6;;;;;Options
88;10000;565337;12.5697;0.8137;0.8137;7.2;;;;;
89;10000;565337;12.5697;0.8161;0.8161;7.2;;;;;
90;10000;565337;12.5697;0.8185;0.8185;7.2;;;;;
91;10000;565337;12.5697;0.8102;0.8102;7.2;;;;;
92;10000;565337;12.5697;0.8126;0.8126;7.2;;;;;
93;10000;565337;12.5697;0.8046;0.8046;7.2;;;;;
94;10000;571671;12.5697;0.7968;0.7968;7.2;;;;;
95;10000;613337;12.5697;0.7993;0.7993;7.2;;;;;
96;10000;661337;12.5697;0.7918;0.7918;7.2;;;;;
97;10000;703004;12.5697;0.7844;0.7844;7.2;;;;;
98;10000;751004;12.5697;0.7869;0.7869;7.2;;;;;
99;10000;751004;12.5698;0.787;0.787;7.2;;;;;
