0;0;1
0;0;1
0;0;1
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;2;2
1;2;2
1;2;2
1;2;3
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
2;2;4
2;2;4
2;2;4
2;2;4
2;2;5
2;2;5
2;2;5
2;2;5
2;2;6
2;2;6
2;2;7
2;2;7
3;3;8
3;3;8
3;3;8
3;3;8
3;4;8
4;4;8
4;4;8
4;4;8
4;4;8
4;5;8
4;5;8
4;5;8
4;5;8
4;5;8
4;5;8
4;5;8
4;5;8
4;5;9
4;5;9
5;6;10
5;6;10
5;7;10
5;7;10
6;7;11
6;7;11
6;8;12
6;8;12
6;8;12
6;8;12
6;9;12
6;10;12
6;10;12
6;11;12
6;11;12
7;12;12
7;12;12
7;12;12
7;12;12
7;12;12
7;12;12
7;13;13
7;13;13
7;13;13
7;13;13
8;13;14
